日期,产品类型,规格,区域,资源ID,使用时长,费用,用量,用量单位
2026-07-02,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,23.2,329.16,485.78,GB
2026-07-02,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,16.7,221.07,442.59,GB
2026-07-02,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,15.8,3.33,0.0,Mbps
2026-07-02,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,10.8,3.33,0.0,Mbps
2026-07-02,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,12.7,3.33,0.0,Mbps
2026-07-03,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,6.3,10.77,20.26,小时
2026-07-03,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,5.9,6.67,1.49,小时
2026-07-03,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,2.2,6.67,3.34,小时
2026-07-03,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,5.9,6.67,4.57,小时
2026-07-03,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,2.2,55.99,20.95,小时
2026-07-03,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,5.5,68.55,20.53,小时
2026-07-03,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,14.0,187.02,348.6,GB
2026-07-03,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,10.1,200.73,318.87,GB
2026-07-03,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,8.8,279.75,382.22,GB
2026-07-03,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,16.3,3.33,0.0,Mbps
2026-07-04,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,2.8,21.8,21.61,小时
2026-07-04,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,20.7,16.48,20.99,小时
2026-07-04,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,11.0,19.91,21.69,小时
2026-07-04,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,21.1,6.67,0.84,小时
2026-07-04,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,2.8,53.17,22.61,小时
2026-07-04,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,0.8,58.75,20.37,小时
2026-07-04,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,6.1,47.66,21.63,小时
2026-07-04,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,21.7,100.25,332.93,GB
2026-07-04,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,9.7,336.12,485.3,GB
2026-07-04,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,10.4,3.33,0.0,Mbps
2026-07-04,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,23.0,3.33,0.0,Mbps
2026-07-05,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,16.1,17.23,21.95,小时
2026-07-05,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,5.6,32.44,20.23,小时
2026-07-05,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,1.9,12.22,21.25,小时
2026-07-05,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,12.3,6.67,4.34,小时
2026-07-05,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,4.2,6.67,4.82,小时
2026-07-05,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,20.5,23.71,20.27,小时
2026-07-05,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,10.0,285.57,488.32,GB
2026-07-05,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,14.5,3.33,0.0,Mbps
2026-07-05,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,15.1,3.33,0.0,Mbps
2026-07-05,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,10.4,3.33,0.0,Mbps
2026-07-06,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,13.8,18.95,21.27,小时
2026-07-06,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,16.2,19.1,21.26,小时
2026-07-06,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,3.6,26.78,22.58,小时
2026-07-06,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,0.7,6.67,3.3,小时
2026-07-06,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,23.9,31.1,20.29,小时
2026-07-06,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,6.7,75.99,23.73,小时
2026-07-06,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,21.2,29.95,21.48,小时
2026-07-06,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,17.0,335.17,422.34,GB
2026-07-06,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,15.9,213.69,301.56,GB
2026-07-06,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,7.5,332.95,432.68,GB
2026-07-06,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,6.7,3.33,0.0,Mbps
2026-07-07,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,17.9,19.02,20.62,小时
2026-07-07,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,17.4,6.67,1.42,小时
2026-07-07,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,20.5,35.84,22.02,小时
2026-07-07,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,21.8,52.23,20.2,小时
2026-07-07,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,20.0,37.01,20.18,小时
2026-07-07,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,15.5,236.31,352.39,GB
2026-07-07,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,17.1,3.33,0.0,Mbps
2026-07-07,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,13.7,3.33,0.0,Mbps
2026-07-07,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,3.1,3.33,0.0,Mbps
2026-07-08,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,21.7,38.86,22.18,小时
2026-07-08,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,14.2,14.23,20.59,小时
2026-07-08,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,7.7,39.98,23.6,小时
2026-07-08,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,21.6,6.67,1.45,小时
2026-07-08,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,16.2,51.38,21.41,小时
2026-07-08,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,23.4,343.23,449.9,GB
2026-07-08,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,6.1,232.72,332.5,GB
2026-07-08,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,21.2,3.33,0.0,Mbps
2026-07-09,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,4.7,39.66,23.7,小时
2026-07-09,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,19.4,6.67,4.39,小时
2026-07-09,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,19.6,6.67,1.7,小时
2026-07-09,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,3.0,73.91,23.49,小时
2026-07-09,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,5.7,50.05,23.27,小时
2026-07-09,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,7.7,36.37,23.18,小时
2026-07-09,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,16.0,166.8,379.69,GB
2026-07-09,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,23.2,3.33,0.0,Mbps
2026-07-10,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,8.8,33.49,22.04,小时
2026-07-10,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,20.3,11.54,21.32,小时
2026-07-10,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,4.7,6.67,4.83,小时
2026-07-10,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,6.7,6.67,0.99,小时
2026-07-10,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,8.6,48.41,23.15,小时
2026-07-10,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,23.6,66.47,20.46,小时
2026-07-10,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,6.5,132.88,441.76,GB
2026-07-10,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,16.6,3.33,0.0,Mbps
2026-07-10,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,22.6,3.33,0.0,Mbps
2026-07-10,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,17.8,3.33,0.0,Mbps
2026-07-11,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,9.1,30.35,20.28,小时
2026-07-11,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,15.1,6.67,3.49,小时
2026-07-11,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,3.4,6.67,4.55,小时
2026-07-11,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,7.8,43.39,21.63,小时
2026-07-11,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,7.4,42.07,20.51,小时
2026-07-11,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,22.6,73.97,22.71,小时
2026-07-11,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,13.9,273.3,381.22,GB
2026-07-11,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,7.6,237.0,342.04,GB
2026-07-11,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,14.8,189.84,364.45,GB
2026-07-11,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,5.5,3.33,0.0,Mbps
2026-07-11,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,11.6,3.33,0.0,Mbps
2026-07-11,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,21.7,3.33,0.0,Mbps
2026-07-12,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,4.5,25.9,20.34,小时
2026-07-12,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,15.4,36.87,21.34,小时
2026-07-12,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,18.2,18.99,22.69,小时
2026-07-12,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,4.0,6.67,0.71,小时
2026-07-12,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,14.9,49.34,23.07,小时
2026-07-12,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,21.3,62.35,22.3,小时
2026-07-12,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,12.1,219.05,348.8,GB
2026-07-12,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,0.6,308.38,450.19,GB
2026-07-12,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,18.8,3.33,0.0,Mbps
2026-07-13,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,4.6,30.43,23.83,小时
2026-07-13,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,13.6,6.67,4.63,小时
2026-07-13,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,11.2,61.95,23.21,小时
2026-07-13,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,14.5,365.4,490.01,GB
2026-07-13,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,14.9,245.18,443.85,GB
2026-07-13,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,20.0,306.6,409.57,GB
2026-07-13,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,20.7,3.33,0.0,Mbps
2026-07-13,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,11.1,3.33,0.0,Mbps
2026-07-13,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,18.2,3.33,0.0,Mbps
2026-07-14,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,7.0,28.35,23.11,小时
2026-07-14,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,6.1,34.17,21.76,小时
2026-07-14,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,6.0,39.25,21.34,小时
2026-07-14,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,3.8,6.67,1.54,小时
2026-07-14,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,4.1,42.5,20.86,小时
2026-07-14,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,8.3,25.26,21.86,小时
2026-07-14,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,20.1,63.05,21.56,小时
2026-07-14,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,1.0,279.87,476.13,GB
2026-07-14,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,11.7,219.51,488.55,GB
2026-07-14,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,9.7,343.39,478.33,GB
2026-07-14,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,18.1,3.33,0.0,Mbps
2026-07-14,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,13.3,3.33,0.0,Mbps
2026-07-14,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,14.7,3.33,0.0,Mbps
2026-07-15,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,12.0,25.91,21.09,小时
2026-07-15,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,8.4,6.67,3.56,小时
2026-07-15,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,10.0,6.67,1.24,小时
2026-07-15,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,22.1,55.86,23.92,小时
2026-07-15,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,21.8,59.45,22.37,小时
2026-07-15,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,15.6,173.65,327.14,GB
2026-07-15,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,6.6,3.33,0.0,Mbps
2026-07-16,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,5.5,34.99,21.31,小时
2026-07-16,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,9.4,40.22,23.01,小时
2026-07-16,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,20.1,6.67,2.62,小时
2026-07-16,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,18.1,6.67,0.73,小时
2026-07-16,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,5.8,68.78,20.27,小时
2026-07-16,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,1.4,32.56,20.12,小时
2026-07-16,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,15.1,186.65,347.71,GB
2026-07-16,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,13.8,3.33,0.0,Mbps
2026-07-17,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,11.4,22.14,21.02,小时
2026-07-17,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,14.8,6.67,3.87,小时
2026-07-17,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,3.2,6.67,4.19,小时
2026-07-17,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,23.2,6.67,0.99,小时
2026-07-17,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,22.3,72.92,22.3,小时
2026-07-17,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,9.8,149.73,443.0,GB
2026-07-17,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,16.7,149.33,425.45,GB
2026-07-17,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,20.5,3.33,0.0,Mbps
2026-07-17,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,14.6,3.33,0.0,Mbps
2026-07-18,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,19.2,12.5,22.26,小时
2026-07-18,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,10.6,6.67,2.17,小时
2026-07-18,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,12.4,6.67,2.04,小时
2026-07-18,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,20.5,6.67,4.2,小时
2026-07-18,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,10.7,69.26,21.45,小时
2026-07-18,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,17.1,258.16,387.1,GB
2026-07-18,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,23.2,249.27,354.02,GB
2026-07-18,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,18.7,3.33,0.0,Mbps
2026-07-18,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,11.4,3.33,0.0,Mbps
2026-07-18,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,19.9,3.33,0.0,Mbps
2026-07-19,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,6.8,40.88,23.41,小时
